RASGRF1	NEFL
APBB1	NBN
MSX2	RUNX2
POLR3H	CRCP
STAT5B	CISH
REL	NFKBIE
PCSK5	LPL
SRC	ITGB3
IRS2	IL7R
PCNA	DDB1
KPTN	NPRL3
CAPZA2	GALNT2
CMA1	KITLG
FGB	TLN1
MYL2	MYL1
COPG2	ARF4
KDM4A	SUMO1
MAVS	IKBKE
RASGRF2	CAMK2B
ESR1	GNAI2
BRAF	NTRK1
TRAF6	NFKB1
UNC5B	AGAP2
SEC23A	SAR1B
F11R	PRKCI
F2RL3	GNG2
SRC	F2R
BET1L	GOLGA5
RAD9A	HUS1
CD14	ITGB2
LAT	PLCG1
AKT1	MTOR
GBE1	GYS2
TRBV7-9	ZAP70
PPARG	NCOR2
EP300	NR1H3
KDM4A	ATM
UCMA	CBFB
MRE11	TP53BP1
PRKAA2	PPARGC1A
VAMP8	STX4
MECP2	MOBP
ROBO2	HOXA2
NCAM1	GDNF
ADRA2A	GNB1
MAGOH	EIF4A3
PPARGC1A	ESRRA
KCNJ12	GNB1
CXCL12	ERBB4
RHOA	SHB
PDK4	PDHA2
GRB7	GFRA2
APP	NLRP3
HDAC1	PRDM4
PRKCQ	RGS9
BRAF	RAF1
SREBF1	SCD
SUCLG2	SUCLG1
CCNB1	PHF8
PRKAA2	RRAGB
PHYH	PEX5
DNAL4	CLTA
SREBF2	MVD
MAPK12	CDC42
VTI1A	GCC2
PXN	ELMO1
VAV2	SHC1
STAT4	EBI3
GNA14	F2RL2
FOXO4	SMAD3
TNNT3	TNNI2
PRKACA	ABCA1
HCRTR1	HCRT
ACTR10	PAFAH1B1
JAK2	PIK3CB
ITGA6	LAMA5
CTNNB1	TCF7L2
TP53	DDB2
EFNB3	SDC2
CTNND1	CDH1
NRG4	NRG1
ACVR2B	ACVR2A
MAPK3	APAF1
COPA	COPZ2
ARL13B	PLIN3
PHKB	PYGL
GPS2	NCOR1
CNTN2	NRCAM
MCM10	CDC6
IRS1	NRAS
SENP5	SUMO3
ITGAD	FGG
FAS	TP53
COLEC11	MASP1
CD14	IRAK4
RAB1A	SEC13
PARP1	CUL4B
PPM1K	DLD
MAGOH	CASC3
MAP1LC3B	ATG5
EIF4E	EIF4A2
NOP58	SUMO1
HBEGF	RHOA
SLIT2	ABL1
CHMP5	VTA1
GRB10	GFRA3
PEX7	PEX5
HGF	EPS15
TAB2	BCL10
AP4M1	APP
BCKDK	BCKDHA
NTRK1	BRAF
CBL	REPS2
WNT8A	FZD1
UBE2N	BCL10
NPHP1	NPHP4
FES	PAK2
NTN1	PTPN11
PLCB1	GNA15
MAPK11	CDKN2A
CDC37	ERBB4
AP2A2	VLDLR
SKP1	FZR1
GAB2	NRTN
MRE11	RMI2
FCGR1A	ELMO2
CCDC8	RBX1
NEFL	KRAS
CFLAR	TRADD
CD3D	CD1B
CCN2	TEAD3
AKT1	RRAGD
IRAK2	TLR6
CDT1	CDC6
PPP1R3C	GYS1
TP53	MIR34B
HDAC3	RUNX2
CD3E	LAT
TP53	TFDP2
EDARADD	EDAR
GATA3	CARM1
GRIN2B	LRFN2
EGFR	PLCG1
ANGPT1	PIK3R2
RRM2B	TXN
HERC5	EIF4A3
CYBA	NCF2
APBA3	STX1A
DDB2	XPC
SRC	KDR
AKT1	FOXO4
ZDHHC21	NOS3
OPRM1	SIN3A
DLG2	GRM1
HBEGF	EGFR
TAB1	CARD9
IGFBP7	FOS
ETFDH	ETFA
AP2B1	AP2A2
NRG4	SHC1
FLRT3	FGF23
GNA12	F2RL3
ACVRL1	GDF2
HCK	FLT3
APH1A	PSEN1
RHEB	RB1CC1
L1CAM	CLTA
PLAT	PDGFC
CD3G	VAV3
TRAF2	FADD
CD4	LCP2
SRRM1	SRRM2
CREBBP	DNAJB1
CTLA4	CBFB
TNNT1	TNNI3
NRTN	SRC
IRAK4	TIRAP
GEN1	XRCC3
GRIN1	LRFN1
LHX3	LDB1
TRAV29DV5	TRAV19
TYROBP	KLRC2
MAPK11	MAPKAPK3
SLBP	EIF4E
CALM1	CREB1
GRB2	IRS1
SLC25A4	ARL2BP
TRMT112	ETF1
CTSS	TLR9
PTK2	CDC42
RASGRF1	CAMK2B
YKT6	STX5
STRN	SRC
CDC42	WASL
PIK3CD	SHC1
ETS2	ERF
PPP3R1	PPP3CB
XRCC6	POLL
TP53	NDRG1
DLG1	CAMK2G
CDKN1B	TFDP1
FOXO3	BCL2L11
CD70	CD27
TFF3	ESR1
IL9	STAT1
CTNNB1	LEF1
PPP4R2	PPP4C
ABCD1	ABCD2
GRIN1	YES1
RARA	UBE2I
RAD50	RNF168
SIN3A	MECP2
PPP1CB	MYH14
FBXW11	NFKBIA
DENND1B	CHML
EED	DNMT3A
CBL	EPN1
HSP90AB1	HBB
NOP58	UBE2I
MYL4	MYBPC3
SYNJ1	DNM2
FYN	PLXNA3
PHKG2	PYGL
MAGED1	NGF
USP13	SIAH2
GRIN3B	GRIN1
KCNJ2	GNB1
UBE2I	SUMO2
TRAF6	DDX58
STAT1	STAT2
SPTAN1	PTK2
IL20RB	STAT3
ACTB	CDC42
CDC25A	MYC
POU2F1	ZNF143
UBE2D2	ELOB
TCF7L2	TERT
USP26	AR
MAP2K1	KRAS
SLC9A1	HYAL2
CCNE1	CDKN1B
SMAD3	TFDP2
AGPS	PEX12
JAK1	SYK
PPP1R12B	PLK1
GRIN2D	LRFN2
PDCD1LG2	CSK
PEX5	ZFAND6
DVL2	AP2S1
MET	GGA3
BARD1	DNA2
NFKB2	CHUK
NDUFS5	TIMMDC1
USO1	COPB2
RTEL1	RAD51C
VPS35	SNX3
AKR1B10	RBP2
ARTN	GAB1
TYK2	IL10
ERBB4	SOS1
E2F1	CDT1
ROCK2	SHB
ITFG2	SZT2
CDK2	CDKN1A
RB1CC1	PRKAA1
HSP90AB1	LAMP2
MRE11	RPA2
NR1H2	SCD
CADM1	CADM3
STAM	STAMBP
EYA3	KAT5
PRLR	PTPN11
CFI	CR1
NCF2	S100A9
CLCF1	CRLF1
ETF1	GSPT1
RBM8A	RNPS1
GTF2F2	GTF2B
GFRA4	PIK3R1
HSP90AA1	SOS1
PTCH1	GLI3
CREBBP	TFAP2C
SUPT16H	CSNK2A2
PIK3R1	NTF3
GRB2	GRAP2
PLXNA1	LIMK1
USP9X	UBA52
DSN1	NDC80
STAT1	IL4R
LIMS1	RSU1
ARHGDIA	NGFR
GPS2	NR1H2
SUMO3	UBE2I
PLXNA3	NRP1
ACVR2A	BMPR1A
SPRY1	EGFR
MAP2K1	BRAF
SLC38A9	RHEB
RBBP8	RPA2
CASP10	IKBKB
CACNG2	DLG4
DYNC1I2	BICD1
AGO4	TNRC6A
CASC3	UPF2
RAB21	CHM
MRTFA	UBE2I
SEC23A	GORASP1
TP53RK	LAGE3
SMARCA4	SMARCC2
SCNN1D	SCNN1G
KDM4A	RNF8
SOD2	ATXN3
LYRM4	NFS1
SOCS3	TYK2
CBFB	ITGAL
NCF1	CYBB
NBN	RPA3
SREBF1	RORA
GLRA1	GLRB
GTF3A	TBP
SH3KBP1	CBL
GGCX	F7
EED	AEBP2
RAP1B	SOS1
CD247	TRAV8-4
GNAI1	P2RY12
CLASP1	ROBO1
ARF4	COPZ2
RBBP7	CDKN2A
GNB3	GNG2
TLR2	TIRAP
VASP	FBLIM1
LATS2	WWTR1
ADAM30	ADAM20
CCZ1	GDI1
PEX10	ZFAND6
KDM4C	PKN1
GRB2	EPN1
WNT5A	AP2B1
OPN1LW	GNAT2
ITGB4	LAMC1
PLG	IGFALS
RNF135	SIKE1
TFDP1	RBL1
TBL1X	RXRA
ATM	ABL1
SYK	PLCG1
LIN7B	RHOA
PTPN1	GH1
TRIM56	STING1
DLG2	CAMK2D
JAK2	CLCF1
EZR	L1CAM
ERBB2	EREG
XPA	RAD23B
CRK	BCAR1
RBBP8	RMI2
YAF2	PCGF6
MMP1	NID1
JAK2	PIK3R1
CLEC6A	SYK
GATA3	CCND1
FBLN5	ELN
PTK6	STAT3
PLCB1	PLCB4
AXIN1	WNT1
RAB3IL1	CHML
TNC	ITGA8
DENND6A	RAB14
YWHAZ	CTNNB1
TBK1	DTX4
NOSTRIN	DNM2
GBE1	GYG2
MYL3	MYL4
TYK2	IFNL1
CBFB	IL2
CETN2	DDB1
ARF3	PI4KB
KCNJ2	KCNJ12
PTPN11	TRBV7-9
RNGTT	SUPT5H
DCC	ABLIM3
FLT3LG	PTPN11
FN1	ITGA2B
IRAK1	NGFR
NTN1	ABLIM2
NMT2	GNAT1
MEMO1	RHOA
GNA13	F2RL3
MYB	CDK9
STAM2	TSG101
VAV1	NRAS
PPARGC1A	UBE2I
MAPK3	IL17RD
PTPRJ	CD3D
SH3KBP1	SYK
PTPN6	STAT2
RNASE1	PLIN2
EIF2S2	EIF4G1
MET	CRKL
NPRL3	CASTOR1
PRKAA1	RRAGD
RPA2	DTL
MAPK1	L1CAM
ERBB4	MXD4
TFAP2C	WWOX
RHOB	MYH9
TNFRSF25	TNFSF15
GANAB	MLEC
EED	TFDP1
IL10	IL10RB
C3	CFHR5
NHEJ1	LIG4
RASGRF1	KRAS
CD247	VAV2
GAPVD1	RAB31
RAPGEF1	LYN
ZFYVE9	TGFB1
BRCA1	BRCA2
GRIN2D	DLG4
SREBF1	SCAP
ITSN1	ACTB
GNB4	PDCL
VPS37A	UBAP1
IRAK2	TRAF6
SUZ12	CDKN2A
TERT	SMARCA4
MAPK11	CTNNA1
UBE2D2	PEX13
MAML2	STAT1
PYY	NPY1R
PDGFRB	PDGFA
ATRIP	TP53
GRIN2A	GRIN2C
TCF7L2	TLE1
PSPN	RET
ABRAXAS1	MRE11
RIPK1	IKBKB
EHD2	RBSN
MECP2	DGCR8
ERBIN	BTC
HDAC6	HBB
NTN1	UNC5A
PTK2	RAC1
SREBF1	FASN
KLK3	IGFBP3
PLCG2	VAV2
BORA	AURKA
ZFYVE9	PPP1R15A
EFNB1	RAC1
ACTG1	FLNC
SATB1	UBE2I
CCNC	SMAD2
PXN	VEGFA
MAP3K8	NFKB1
SEC23A	PREB
ANK1	SCN5A
FYN	CD28
MAPK7	MEF2C
KAT5	RMI1
VCL	FN1
JAK3	JAK2
HSP90AA1	CETN1
CCDC22	DCUN1D1
P4HA2	P4HB
WRN	RPA2
HOXB1	PKNOX1
ESR1	PTGES3
CDKN1A	SMAD3
HSP90AA1	CAV1
IFIH1	CASP8
TRIM32	STING1
MMP2	IGF2
PRKCG	GRK2
P2RY1	GNA11
COPE	GBF1
SMO	KIF3A
PIK3CA	PIK3R2
FES	RAC1
HBS1L	TTC37
PIK3CB	SHC1
TP53BP1	HERC2
CNGB1	CALM1
MBTPS1	CREB3
CCND1	RBL1
USP34	RNF146
STOML3	ASIC1
PIK3CA	EREG
PILRA	CLEC4G
PTK6	STAP2
VCP	SEL1L
CFLAR	FADD
TBCA	TBCD
PIK3R1	RAC2
DENND4C	GDI1
PEX7	PHYH
FOXP3	IFNG
PIK3CB	GRB2
COPZ2	GBF1
EREG	MATK
SIRT1	RRP8
POLI	REV3L
TXN	MAP3K5
EEF2	EEF1A1
MLST8	RRAGD
NTRK2	TIAM1
PKMYT1	CCNB2
PIK3R1	FLT3
PAK3	VAV1
CTNNB1	SPAG9
FGG	RAP1A
MET	STAT3
SAR1B	SEC31A
CSNK2A2	FUNDC1
IL12A	JAK2
NCOR1	ERBB4
NCBP1	GTF2F1
ANXA6	ANXA1
PRKAG1	TP53
TSC22D3	NEDD4L
TRBV7-9	GRAP2
AP1M1	HLA-A
GRB2	LCK
NRIP1	UBE2I
VEGFD	FLT4
RNASE1	VIM
EPOR	GRB2
RAPGEF1	BCAR1
PIK3CA	CD28
MAP2K3	MAPKAPK3
PRKAG1	RRAGD
MRE11	ATM
YES1	VAV3
GADD45A	PCNA
CDC6	RPA2
CDC7	DBF4
EGFR	KRAS
P2RY1	GNA14
MAPK1	PPP2R5B
SUZ12	TFDP1
CCNB1	LMNA
ISG15	EIF4A3
HDAC3	NR1H3
NBN	RPA2
MAPK11	BNIP2
BHLHE40	NPAS2
TEAD2	WWTR1
MMP3	A2M
SEC24B	RAB1A
SREBF2	SCAP
PIK3CB	SYK
HGF	GAB1
TRIO	ABLIM2
SP1	ZNF143
IL7R	CRLF2
FGF23	CBL
ROBO1	LHX2
SELPLG	GLG1
AKT1	BAD
MTOR	AKT1S1
EREG	SHC1
RRAGA	ATG13
VWF	F2
RPRD2	RPRD1A
NCBP1	NXF1
PDPK1	PRKCZ
HDAC2	RCOR1
POMGNT2	DAG1
PIK3R1	YWHAZ
F11R	PARD6A
TNFSF13	TNFRSF13B
PCNT	HSPA8
WDR48	RPA2
GAB1	PTPN11
ERBB4	PTK6
TRPC4	TRPC1
AP1B1	AP1G1
FOXO1	CDKN1A
CDK5	PRDX1
PLCB2	GNAQ
DYNC1I1	DCTN5
CTF1	JAK2
PRC1	CIT
HDAC1	MECP2
USO1	COPZ1
UBE2D3	LIMD1
SEC13	GORASP1
RB1CC1	PRKAG3
WNT1	FZD7
HSP90AA1	DOCK1
EMILIN1	MFAP1
CBFB	SMAD1
RAF1	SRC
TICAM2	CD14
DENND5A	GDI1
HSP90AA1	ARL13B
MAPK1	NCF2
PCNA	FEN1
RPA4	RPA3
XRCC4	DCLRE1C
KDM5B	CDKN1A
TRIM25	IRF3
APOD	NR1H3
PRKACA	PLN
CBL	CRK
DNAJA1	HSP90AA1
RPA3	FEN1
RRAGD	MAF1
PACS1	AP1M1
SRF	ITGB1
MET	MECP2
MAP3K7	IKBKB
DYNLL1	DCTN3
ACVR2B	ACVR1B
SELE	SELPLG
GNB1	GNAL
WASL	KIRREL1
IL22RA1	PTPN11
LATS1	WWC1
CASTOR2	CASTOR1
PRCP	C1QBP
PHKB	PHKA1
GNA13	ADRA1D
NDUFAF1	ACAD9
SUMO2	RORA
INPPL1	IL3
GAB2	IL3RA
FOXO1	NFYB
AP2S1	NTRK1
ERBB4	ERBB3
PIK3R1	GRB2
SZT2	NPRL3
SFTPA1	SIRPA
MAP3K7	CHUK
MMP14	MMP2
CDK6	CDKN1A
GNAS	AVP
IL6ST	PTPN11
PRKACB	PRKAR1A
AP1M1	CLVS1
MAPK3	YWHAB
ERBIN	ERBB4
RIN3	RAB31
C5	C9
VAV2	LAT
TLR4	SFTPD
IKBKE	TRAF3
TNFAIP3	NOD2
SHC1	PAK1
ZAP70	CD247
GBF1	ARCN1
RBBP4	DNMT3B
PRKAG3	RPTOR
FGF2	FGF6
GNB5	PDCL
BAK1	BID
IL9R	STAT1
NFYA	HMGCS1
IL12B	JAK2
RAD23B	XPC
F10	F7
JAK3	JAK1
KCNMA1	KCNMB3
RRAGA	RB1CC1
FOXO3	BBC3
HDAC3	NCOR1
TNNC1	TNNT1
DERL2	SYVN1
RB1CC1	ULK1
ENAH	FYB1
GNA13	ARHGEF1
SOX17	CTNNB1
RCL1	BMS1
ITGAD	ITGB2
E2F5	MYBL2
SMAD4	TFDP1
RELN	DAB1
NECTIN1	NECTIN2
GJB2	GJB1
F2RL3	F2R
PRKDC	POLM
NCF4	NCF2
CDK4	CBFB
DAB2	MYO6
SH2D2A	AXL
PRKACG	GLI3
GNAT1	GNG2
GTF2F2	NCBP2
NBN	NSD2
KLRK1	FYN
PCK1	FOXO1
NPHS1	NCK1
RBM8A	EIF4A3
PRMT5	JMY
BAG4	TNFRSF1A
STAT4	IL12B
CCNB2	FOXM1
LIG1	RPA3
RPA3	ATRIP
RBBP8	XRCC1
ERLEC1	SEL1L
DDX58	IKBKG
POLH	PCNA
RPS6KA3	CEBPB
MRE11	LIG3
TNFRSF1B	BIRC3
CDKN1A	SKP2
GRAP2	LAT
MOB1B	LATS2
CASP10	FAS
SUPT5H	GTF2F2
CUX1	GOLGA5
CD81	C3
GRB2	ITK
DIAPH1	MRTFA
GRB2	FGF23
XRCC6	MRE11
TLL1	LOX
DCTN3	GALNT1
MECP2	FKBP5
STAT1	IL2RG
DVL3	WNT1
IRS1	IL2RG
VEGFA	PTK2
KLKB1	F12
NRTN	FRS2
UPF3A	EIF4A3
GNB1	ADRA1D
CREBRF	CREB3
CACNG2	CACNB4
TRIM72	ANXA2
PTPN12	NRG2
PLIN3	RNASE1
MOCS3	MOCS2
PRSS8	FLG
NRP1	L1CAM
FOXO3	CDKN1A
TRIM72	DYSF
FN1	APBB1IP
AFDN	NECTIN2
MBTPS2	CREB3L4
DLST	DLD
APP	PYCARD
DLG3	GRIK2
JMY	EP300
PDGFRA	GRB2
DNA2	PRIM2
MYL6	MYH9
ACTR10	DCTN3
SRC	ELMO1
CDC42	GRB2
RNASE1	PCNT
GRIK3	GNB1
SRC	TRIO
PRKAG3	MLST8
EFNB3	SDCBP
LAMB3	DST
PIN1	PIP4K2A
OPRM1	POMC
L3MBTL2	EHMT1
WNT8B	FZD1
PTK2	TRIO
SMAD4	BCL2L11
KAT5	UBE2V2
TRAV29DV5	LCP2
PTK6	PELP1
LGR4	RSPO1
ESR1	GNAI1
RPTOR	AKT1S1
CBL	FGF19
TTC21B	IFT122
GINS4	GINS1
STOML3	ASIC2
TLR4	SFTPA2
FOXO1	YWHAB
CYB5B	CYB5R3
PDHA1	PDHB
PLXNA3	PAK2
SUMO1	NR5A1
PDGFA	SOS1
IGHA2	FCAMR
IKBKE	TLR4
CAPZB	DCTN4
GNA14	TBXA2R
CUL5	ELOC
COPB1	COPZ1
UIMC1	KAT5
UNC93B1	TLR7
TP53	CCNK
CREB1	NOTCH2
MAP3K8	FBXW11
TIMM8B	TIMM13
NTRK2	CDK5R1
DENND1B	CHM
IRF3	CTNNB1
DLAT	GCSH
TP53	BBC3
BET1L	YKT6
PLAUR	PLAU
RAD50	BRCA1
PRIM1	POLD4
KAT5	NBN
PLCB4	GNA11
SHC1	GFRA4
TLR1	TIRAP
JAK3	SYK
FEN1	POLB
RUNX3	FOXO3
TAB1	TAB3
SYT2	STON2
EFNB3	CDC42
AKT1	MDM2
PAK2	PLXNA1
CD36	CD14
EPHB2	L1CAM
PYY	NPY5R
KRT26	KRT27
RRAGB	MAF1
MAP2K1	MARK3
LCP2	SOS1
MYH6	MYL1
SPHK1	RASA1
ERBIN	EGFR
TLR4	TAB3
DLGAP2	HOMER2
ZNF385A	TP53
ALPK1	TAB3
PPP1R12B	MYH14
GLI1	SUFU
LCK	CD3G
PPP2CA	PPP2R1A
PRKAB2	PIK3C3
SELPLG	SELL
DLG3	NRCAM
ATP1A4	ATP1B1
NTF3	SRC
KIF3B	KIF3A
TIGAR	TP53
ODC1	OAZ1
PPP1CA	PPP1R15A
SEC23A	SREBF2
IKBKG	SUMO1
CAMKK1	CAMK4
DCLRE1C	KAT5
PEX10	UBE2D3
CUL4B	RAD23B
ACVR1C	SMAD3
CALM1	NEFL
LOXL1	FBLN5
CD3E	PLCG1
EFNB2	ARHGEF7
CCL20	CCR6
NELFB	CCNK
PPM1F	CAMK1
RTN4R	MAG
ARAF	BRAF
NOX3	RAC1
INHBE	INHBA
FBN2	MFAP3
SCAP	INSIG1
PTPN1	SRC
IL23R	IL23A
SIRT5	CYCS
PTEN	MAF1
F2	IGF2
CHM	RAB38
ERLIN2	GRB2
GUCY2C	GUCA2B
MRRF	GFM2
GABRG2	GABRQ
SMAD2	TFDP2
L1CAM	CLTC
GNA11	PLCB2
CAPZB	GALNT2
UBE2L6	EIF4E
RHOA	LINGO1
MET	NRAS
NFYB	SREBF2
RBM8A	CASC3
PRKAG1	DYNLL1
MAPK1	FGFR1
IL12A	STAT1
PRKAA2	AMBRA1
FOXO3	TRIM63
NCK2	EFNB1
OTULIN	UBC
FGFR4	NRAS
CATSPER2	CATSPERD
TP53	USP42
CDC25A	FOXM1
CHRM2	ARRB2
SHC1	LYN
INPP5E	PDE6D
IRAK1	IRAK2
MAPK14	PLA2G4A
P4HB	COL1A2
EDA2R	EDA
S100A8	S100A9
RAF1	NRAS
CAP1	ABL1
NCBP2	CCNK
POLD2	POLA1
RAD51	E2F1
TWIST1	RUNX2
KIF4B	SH3GL2
FEN1	NBN
TBL1XR1	RXRA
CDK5	TP53
CASP7	XIAP
SHB	VEGFA
JAK2	IFNGR1
SRGAP3	CDC42
STAM	EPS15
TYSND1	HSD17B4
CDC42	IQGAP1
DMD	LAMA2
ITK	PLCG1
SHARPIN	FO681507.1
ASCC1	ASCC3
IL27RA	IL12RB2
NCBP1	SUPT5H
POMT1	DAG1
EIF1AX	EIF4E
HYAL2	LYVE1
PRKCI	NGFR
FCER1A	SOS1
UBA7	ISG15
NAA30	NAA35
DUSP3	MAPK1
IFNAR1	IFNB1
NCAM1	NRTN
ARF4	COPB1
PLCG1	NTRK1
TEC	VAV3
PIK3R4	BECN1
VAV2	GRB2
ADAM10	TSPAN33
CARD9	MAP3K7
FURIN	FBN1
CD4	AP2S1
PIK3R1	FGFR2
SNAP23	VAMP7
ELOC	ELOA
DLG3	GRIK1
HLCS	PCCB
KCNJ11	ABCC9
WDR48	RPA3
PAFAH1B1	BICD1
GRAP2	FYN
RRAGC	RPTOR
MAP2K1	WDR83
CHEK1	BRCA2
NECTIN4	NECTIN1
GET3	SGTA
SESN1	ITFG2
SIAH2	SNCA
RGP1	GDI2
RHEB	MLST8
AP1S3	DNM2
FBN1	ITGB3
PPP1R12A	MYL6
STAT5B	BRWD1
ACAA1	PEX2
SKP1	AURKA
COPB2	COPA
MAPK1	MARK3
HEBP1	FPR3
KDM4A	UBE2V2
POLD3	POLB
MAP2K6	MAPK14
HGF	PTK2
PLCG1	EGFR
CCR5	CD4
FCER2	MAML2
TFAP2A	KCTD15
CCNB2	PDS5A
MMP3	SPP1
H2AC6	BCL2
IL2RG	IL2
PELP1	EPAS1
BARD1	RAD51
SUFU	GLI1
LAMC2	ITGB4
DCC	NTN4
PTPN11	STAT2
DNM2	AP1M1
CGA	FSHB
OPTN	RAB8A
TEAD4	WWTR1
SUMO1	VHL
PRKCQ	BCL10
PRKAA2	RPTOR
MDM2	SUMO1
MAPK3	LAMTOR2
DENND4B	RAB10
SOX2	FGF2
RAB8A	PKD1
ATG12	MAP1LC3B
MFAP5	MFAP1
NID2	HSPG2
LIG3	XRCC1
RNF8	PIAS4
PLCB4	PLCB3
MAVS	RIPK1
HSP90AB1	VIM
PTPN11	IFNB1
RUNX2	SMAD1
RGMA	NEO1
LYN	RAC1
TYSND1	SCP2
NDUFS5	ND4
SEC24D	SEC24C
PCNA	POLD4
CIAO1	CIAO3
PTPN13	PLEKHA1
CD8A	CD3E
CD1B	TRAV19
PTCH2	GLI1
PROK2	PROKR2
PDHA1	DLAT
RASGRP2	RAP1B
EIF4G1	EIF4B
SEMA4D	CD72
GSK3B	DVL1
SLC7A9	SLC3A1
CD4	TRAV29DV5
CDK2	E2F1
XPA	DDB1
TAS1R3	TAS1R2
DAG1	AGRN
RET	GFRA3
LOX	ELN
PCNA	SHPRH
PLXNA1	PAK2
CAPNS1	CAPN1
BCKDHA	DBT
ARL2	ARL2BP
NTRK1	RAPGEF1
RHOB	PPP1CB
IDI1	NFYC
CDKN2D	CDK4
JAK2	GAB1
GRIK5	GRIK2
LEFTY1	ACVR1C
IL13RA1	JAK1
RAP1A	SOS1
CTNNA1	SPAG9
GDNF	PIK3CD
ARF4	COPA
IDI1	SREBF2
PHB	MAIP1
CFTR	CETN1
GOSR1	GOLGA5
TRPC5	TRPC6
GNAQ	F2R
PRKACA	CSF2RB
CDC25A	RBL2
CALM1	PRKAG3
COPZ1	RAB1B
PDHX	PDHA1
HLA-A	AP1S2
CRY2	CLOCK
DNM2	CD74
GDF1	NODAL
JAK3	IL2RA
CFTR	PLIN3
STAT3	IL2RG
TGFBR2	PPP1CA
HEYL	MAML2
NCK2	FYN
SHC1	FGFR4
MEN1	CTNNB1
TTN	MYL1
PPP3R1	BAD
E2F6	RBBP7
ND2	ND6
TBK1	TICAM2
CD3E	ZAP70
RHOC	MYH10
NELFB	CDK9
PSEN1	NOTCH1
PLCG1	FGFR3
KLF15	NPAS2
HDAC1	SMAD3
GTF2B	GTF2E2
ULK1	BECN1
COL9A1	COL9A2
AP1S1	CLVS2
SOS1	EGF
EIF1AX	EIF4H
PAK2	CTNND1
KIT	STAT5B
MYL2	MYL3
IGF2	IRS2
CDC42	PAK3
CALM1	ITPKC
CACNA1F	CACNB3
PLXNA3	PAK3
POLD4	POLA2
ACTB	EZR
ITGB1	LAMC2
CD4	PLCG1
ACTR10	BICD1
PEX10	PEX5
TRAF6	TAB2
FGB	RAP1A
CBFB	BLK
IL10RB	JAK1
NCOR2	NR1H3
MAPK1	CLTA
AGTR1	AGT
PRKAA1	PRKAG3
CSNK2A1	DVL3
BHLHE41	NFIL3
FIG4	PIKFYVE
NFYA	SQLE
COPG2	RAB1B
PTPN6	SHC1
TNNT2	TNNI3
CDK5	CABLES1
PKN1	PPP1R14A
SLIT2	LHX4
TNFRSF18	RUNX1
NRG2	DIAPH1
IRAK1	IL1RL1
CBL	PIK3CA
FGG	SYK
SH3KBP1	SH3GL2
TRPC4	TRPC6
PCK1	FOXO3
RXRA	FASN
CBFB	PRMT1
PRKAB1	ULK1
PIK3CD	CSF2RB
IL4R	JAK3
NFKBIA	NFKB1
MPST	TXN2
DYNLL2	DCTN4
EGFR	SHC1
OTUB1	RNF128
RRAGC	ULK1
ANK1	SPTAN1
PRMT6	GP1BA
PIK3CA	PIK3R1
FCGR3A	DOCK1
RELB	BTRC
RXRA	PLIN1
BMF	BCL2
FURIN	ANTXR1
BTK	IRAK2
RPA1	FEN1
PRKAG1	PIK3R4
NTRK3	SRC
PRKAG1	TSC2
RTN4	ARHGDIA
TRAF6	TRIM25
USP20	ADRB2
PIK3R2	KLRD1
MYH6	MYL2
HNRNPC	UBE2I
PPY	NPY1R
CPN2	C5
FGF19	KLB
PECAM1	ITGB3
UBE2D2	HIF1A
TLE4	TLE1
MAPK1	AP2B1
SUMO1	RNF168
SENP5	SUMO2
LGR6	RSPO1
USO1	COPZ2
ARCN1	RAB1B
MAPK3	KLB
TRADD	FADD
CYP11A1	FDXR
SUMO1	RNF8
KLK7	CDH1
CLOCK	NR1D1
H2AC6	ESR1
FYN	PLXNA1
MALT1	BCL10
KSR1	MAP2K1
SUPT4H1	CCNT1
CRK	RAC1
NANOG	DKK1
APOC1	NR1H3
TBXA2R	GNA11
NCOA1	NR1H3
KIRREL1	SPTAN1
SHC1	IGF1R
TBK1	SIKE1
COPB1	COPE
PRKAG1	RRAGC
RAD52	RAD51
MAVS	TBK1
TNRC6C	AGO4
MAML3	FLT4
ITCH	NOTCH1
HPS4	GDI1
AP1S2	CLVS2
RAD50	ATM
IGFBP2	IGF2
PRKAA1	TSC1
IL3	GAB2
E2F1	RRM2
CASP3	UNC5B
CBL	STAM
SHC1	BTK
C8G	C9
ITGA2B	TLN1
PSPN	PIK3CA
USP17L2	IFIH1
IL12RB2	JAK2
ITK	GRB2
DISP2	SHH
NTN1	ABLIM3
ACVR2B	SMAD7
HMGA2	HMGA1
COPZ2	COPG1
PIK3R1	TREM2
NAT10	THUMPD1
IRS2	NGF
JAM3	ITGB2
TCF7L2	CREBBP
GNAT1	GNB1
PPP1R14A	PPP1CB
ERBB4	GABRG3
CD14	TLR2
TFDP1	TK1
HOXA2	RBBP4
GP1BA	YWHAZ
TAB2	S100B
CEBPB	RELA
IFNAR1	IFNAR2
GNA11	TBXA2R
STAT1	IL21R
GRB2	IL5RA
LAMA3	LAMB2
IL12B	JAK1
CALM1	GRIA1
MAPK1	AP2A1
NOS3	NOSIP
FBXW11	SKP1
NRCAM	SPTA1
CD3D	LCK
SEC24C	GOLGA2
POLR3F	POLR3GL
DCTN4	GALNT1
CD81	IFITM1
VEGFA	ITGB3
RAB5A	CHM
SHC1	GRAP2
RBX1	ELOB
DCUN1D1	UBE2F
DLG3	CAMK2G
EP300	RXRA
