ERLEC1	DERL2
CTNNB1	CTNNBIP1
IL20RB	IL20RA
POLI	TRIM25
ADRB2	ARRB2
GNAQ	ARHGEF25
PIK3CB	TREM2
NUMB	L1CAM
CAMK2A	JAK1
SMARCA5	H2AX
MAPK8	APBB1
MYD88	TLR10
NOX1	RAC1
HBEGF	SOS1
UBE2I	DNMT3A
USO1	SEC22B
STK4	MOB1B
DYNLL2	CAPZA2
BCR	GRB2
TBP	DDX5
MIA3	PREB
LAMA1	LAMB2
MDM2	PPP2R5C
NCK1	PAK1
IL4R	JAK1
LEF1	CREBBP
IKBKG	NOD1
ITGA6	COL17A1
CYBB	S100A8
F2	C5
GRIN2A	LRFN1
DDB2	CETN2
IRS2	PIK3R2
TAB2	ERBB4
TRAV8-4	CD1A
DNM2	CLTC
CAMKK2	PRKAG1
PTPN1	IFNAR1
CFTR	HDAC6
RAD50	RBBP8
DNA2	POLA2
DYNC1LI2	DYNLL1
FN1	GRB2
ADRB2	GRK5
RUNX1	SMARCA2
PRKAA1	DYNLL1
F7	ARNTL
PDGFA	NCK1
TIMM9	TIMM10B
NFYB	CYP51A1
GSK3B	DVL3
LCK	VAV2
HBEGF	GRB2
XPA	RBX1
WDR77	CCND1
UCMA	SP7
SMAD9	SMAD4
ASXL2	OGT
GRB2	RAPGEF1
ATP1B3	ATP1B1
PDHA1	GCSH
PIK3R1	IL3
PDK2	PDHX
XRCC6	DCLRE1C
NFKBIE	RELA
RHOB	LIMK1
IRAK1	CD36
EBNA1BP2	PES1
C9	C8B
BOC	CDH15
AVP	NPAS2
RAB10	GDI2
DSCAM	DSCAML1
CDC20	BUB3
CCDC22	SKP1
GNL3	PES1
GNG2	GNAI3
SEC22B	SEC16B
MUS81	RAD51C
GZMB	BID
BMP2	BMPR1A
TNFSF13B	BIRC3
UBE2D2	PEX2
CNEP1R1	CTDNEP1
CAND1	CUL1
PPP1CC	PPP1R15A
NEIL1	OGG1
SOS1	GRAP2
LAMP2	HBB
BCHE	GHRL
ZAP70	TRBV7-9
ABCG5	RXRA
CDC42	KDR
POLD4	CUL4B
PTPN6	CSF2RA
CDC45	CLSPN
COPG1	COPZ2
RAB3GAP1	CHM
BIRC2	TNFSF14
GNAS	AVPR2
C3	CFHR1
RAD9B	HUS1
FGF23	FGFR1
IGF2	SHC1
ACVR1C	SMAD2
GGPS1	SP1
FXN	NFS1
PTPN22	TRAV29DV5
JAK1	IL7R
FDX1	FDX2
IGF1	IRS1
GNB1	ADRA1B
VCL	TLN1
DVL3	RBX1
BLK	IGHD
C3	CFHR2
SHC1	ARTN
GFAP	HSP90AA1
RAB11A	PKD1
DLG3	KRAS
ARHGEF7	PAK1
DBF4	RPA2
RAP1A	NTRK1
HMGA1	HIRA
AKT1S1	SLC38A9
FNTB	GNGT1
MYBL2	FOXM1
KAT5	H2AX
PRKACA	IL5RA
DLG4	CAMK2G
